instance_family,instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,best_baseline_solver,best_baseline_objective,best_baseline_time_seconds,best_baseline_valid,best_baseline_status,objective_gap,relative_gap_percent
clustered-center,clustered-center_n500_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m5_r01.txt,500,5,lkh-wrapper-v3,1266.238492921747,0.054747,True,ortools-gls,1205.83123,5.000525,True,ok,60.407263,5.009595
clustered-center,clustered-center_n50_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m2_r01.txt,50,2,rand+nn,215.3853898320653,3e-05,True,ortools-gls,122.765884,4.999964,True,ok,92.619506,75.44401
clustered-center,clustered-center_n50_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m2_r01.txt,50,2,2opt+greed,175.79265039177542,5.6e-05,True,ortools-gls,122.765884,4.999964,True,ok,53.026766,43.193405
clustered-center,clustered-center_n50_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m2_r01.txt,50,2,lkh-wrapper-v2,143.47498277205037,0.003458,True,ortools-gls,122.765884,4.999964,True,ok,20.709099,16.868774
clustered-center,clustered-center_n50_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m2_r01.txt,50,2,lkh-wrapper-v3,143.79514733501134,0.00154,True,ortools-gls,122.765884,4.999964,True,ok,21.029263,17.129566
clustered-center,clustered-center_n50_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m3_r01.txt,50,3,rand+nn,291.15193414579556,3.8e-05,True,ortools-gls,126.387072,4.999979,True,ok,164.764862,130.365281
clustered-center,clustered-center_n50_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m3_r01.txt,50,3,2opt+greed,203.0421913259293,6e-05,True,ortools-gls,126.387072,4.999979,True,ok,76.655119,60.651076
clustered-center,clustered-center_n50_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m3_r01.txt,50,3,lkh-wrapper-v2,148.3385631469428,0.002659,True,ortools-gls,126.387072,4.999979,True,ok,21.951491,17.368462
clustered-center,clustered-center_n50_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m3_r01.txt,50,3,lkh-wrapper-v3,148.21306106549736,0.002706,True,ortools-gls,126.387072,4.999979,True,ok,21.825989,17.269163
clustered-center,clustered-center_n50_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m5_r01.txt,50,5,rand+nn,431.68153132045654,3.1e-05,True,ortools-gls,115.376314,5.000338,True,ok,316.305217,274.150912
clustered-center,clustered-center_n50_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m5_r01.txt,50,5,2opt+greed,316.19886902957523,5.2e-05,True,ortools-gls,115.376314,5.000338,True,ok,200.822555,174.058737
clustered-center,clustered-center_n50_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m5_r01.txt,50,5,lkh-wrapper-v2,147.6975180053758,0.002839,True,ortools-gls,115.376314,5.000338,True,ok,32.321204,28.013726
clustered-center,clustered-center_n50_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n50_m5_r01.txt,50,5,lkh-wrapper-v3,148.2611365715805,0.001566,True,ortools-gls,115.376314,5.000338,True,ok,32.884823,28.502231
clustered-offset-depot,clustered-offset-depot_n1000_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m3_r01.txt,1000,3,rand+nn,7218.462161225855,0.000879,True,ortools-gls,3349.333293,5.001683,True,ok,3869.128868,115.519374
clustered-offset-depot,clustered-offset-depot_n1000_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m3_r01.txt,1000,3,2opt+greed,5394.445827710264,0.018265,True,ortools-gls,3349.333293,5.001683,True,ok,2045.112535,61.060287
clustered-offset-depot,clustered-offset-depot_n1000_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m3_r01.txt,1000,3,lkh-wrapper-v2,3043.069657832766,0.584709,True,ortools-gls,3349.333293,5.001683,True,ok,-306.263635,-9.144018
clustered-offset-depot,clustered-offset-depot_n1000_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m3_r01.txt,1000,3,lkh-wrapper-v3,3056.223965629462,3.985301,True,ortools-gls,3349.333293,5.001683,True,ok,-293.109327,-8.751274
clustered-offset-depot,clustered-offset-depot_n1000_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m5_r01.txt,1000,5,rand+nn,7126.829688738606,0.000758,True,ortools-gls,2496.622933,5.005167,True,ok,4630.206756,185.458793
clustered-offset-depot,clustered-offset-depot_n1000_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m5_r01.txt,1000,5,2opt+greed,4621.539535761749,0.007327,True,ortools-gls,2496.622933,5.005167,True,ok,2124.916603,85.111635
clustered-offset-depot,clustered-offset-depot_n1000_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m5_r01.txt,1000,5,lkh-wrapper-v2,2302.508044089698,0.777858,True,ortools-gls,2496.622933,5.005167,True,ok,-194.114889,-7.775098
clustered-offset-depot,clustered-offset-depot_n1000_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m5_r01.txt,1000,5,lkh-wrapper-v3,2280.616710712988,2.614754,True,ortools-gls,2496.622933,5.005167,True,ok,-216.006222,-8.651936
clustered-offset-depot,clustered-offset-depot_n1000_m7_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m7_r01.txt,1000,7,rand+nn,10732.858942006877,0.001428,True,ortools-gls,2670.83384,5.001761,True,ok,8062.025102,301.854237
clustered-offset-depot,clustered-offset-depot_n1000_m7_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n1000_m7_r01.txt,1000,7,2opt+greed,7412.768292615292,0.010484,True,ortools-gls,2670.83384,5.001761,True,ok,4741.934453,177.545094
