"phase","instance_family","instance","path","node_count","salesman_count","solver","solver_budget_ms","wall_timeout_sec","start_time_utc","end_time_utc","wall_seconds","valid","status","objective","time_seconds","step_time_seconds","message","killed","exit_code","artifacts_dir"
"main","outliers","outliers_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\outliers_n25000_m7_r01.txt","25000","7","lkh3-baseline","150000","300","2026-04-24T01:20:58.1689486Z","2026-04-24T01:25:58.8864547Z","300.717221","False","wall_timeout","","300.717221","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","outliers","outliers_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\outliers_n25000_m5_r01.txt","25000","5","lkh3-baseline","150000","300","2026-04-24T00:29:02.4582563Z","2026-04-24T00:34:03.4643128Z","301.005643","False","wall_timeout","","301.005643","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","outliers","outliers_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\outliers_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","150000","300","2026-04-24T10:52:31.2713796Z","2026-04-24T10:55:37.4326548Z","186.159064","False","runner_error",,"186.159064",,"mtsp.exe exited with code .","False",,""
"main","outliers","outliers_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\outliers_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","150000","300","2026-04-24T10:55:37.8478993Z","2026-04-24T10:58:53.7981992Z","195.949096","False","runner_error",,"195.949096",,"mtsp.exe exited with code .","False",,""
"main","outliers","outliers_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\outliers_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","150000","300","2026-04-24T10:58:54.1563742Z","2026-04-24T11:00:08.5786344Z","74.422681","False","runner_error",,"74.422681",,"mtsp.exe exited with code .","False",,""
"main","outliers","outliers_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\outliers_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","150000","300","2026-04-24T11:00:08.8485676Z","2026-04-24T11:01:01.2980831Z","52.449495","False","runner_error",,"52.449495",,"mtsp.exe exited with code .","False",,""
"main","uniform","uniform_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n25000_m5_r01.txt","25000","5","lkh3-baseline","150000","300","2026-04-24T00:11:47.2171700Z","2026-04-24T00:16:48.0213482Z","300.804301","False","wall_timeout","","300.804301","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","uniform","uniform_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n25000_m7_r01.txt","25000","7","lkh3-baseline","150000","300","2026-04-24T01:03:22.4414817Z","2026-04-24T01:08:23.3179293Z","300.876206","False","wall_timeout","","300.876206","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","uniform","uniform_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","150000","300","2026-04-24T11:01:01.5598277Z","2026-04-24T11:04:05.8899544Z","184.329889","False","runner_error",,"184.329889",,"mtsp.exe exited with code .","False",,""
"main","uniform","uniform_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","150000","300","2026-04-24T11:04:06.1314724Z","2026-04-24T11:07:04.1300007Z","177.997814","False","runner_error",,"177.997814",,"mtsp.exe exited with code .","False",,""
"main","uniform","uniform_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","150000","300","2026-04-24T11:07:04.3761828Z","2026-04-24T11:07:47.2889087Z","42.912558","False","runner_error",,"42.912558",,"mtsp.exe exited with code .","False",,""
"main","uniform","uniform_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","150000","300","2026-04-24T11:07:47.5342927Z","2026-04-24T11:08:41.5336942Z","53.999032","False","runner_error",,"53.999032",,"mtsp.exe exited with code .","False",,""
"main","clustered-center","clustered-center_n50000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n50000_m7_r01.txt","50000","7","lkh3-baseline","150000","300","2026-04-23T23:52:31.5474318Z","2026-04-23T23:57:32.4222970Z","300.874554","False","wall_timeout","","300.874554","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","clustered-center","clustered-center_n50000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n50000_m5_r01.txt","50000","5","lkh3-baseline","150000","300","2026-04-23T22:50:56.0264213Z","2026-04-23T22:55:56.8683138Z","300.841897","False","wall_timeout","","300.841897","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","clustered-center","clustered-center_n50000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n50000_m5_r01.txt","50000","5","lkh-wrapper-v4","150000","300","2026-04-24T11:08:41.7624401Z","2026-04-24T11:11:40.2542603Z","178.49225","False","runner_error",,"178.49225",,"mtsp.exe exited with code .","False",,""
"main","clustered-center","clustered-center_n50000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n50000_m7_r01.txt","50000","7","lkh-wrapper-v4","150000","300","2026-04-24T11:11:40.5153595Z","2026-04-24T11:14:34.3911621Z","173.875956","False","runner_error",,"173.875956",,"mtsp.exe exited with code .","False",,""
"main","clustered-center","clustered-center_n50000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n50000_m7_r01.txt","50000","7","lkh-wrapper-v7","150000","300","2026-04-24T11:14:34.6517221Z","2026-04-24T11:16:54.3479517Z","139.695846","False","runner_error",,"139.695846",,"mtsp.exe exited with code .","False",,""
"main","clustered-center","clustered-center_n50000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n50000_m5_r01.txt","50000","5","lkh-wrapper-v7","150000","300","2026-04-24T11:16:54.6079113Z","2026-04-24T11:19:15.6655521Z","141.057649","False","runner_error",,"141.057649",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n50000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n50000_m7_r01.txt","50000","7","lkh3-baseline","150000","300","2026-04-24T00:03:12.4038081Z","2026-04-24T00:08:13.2480158Z","300.843744","False","wall_timeout","","300.843744","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","clustered-offset-depot","clustered-offset-depot_n50000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n50000_m5_r01.txt","50000","5","lkh3-baseline","150000","300","2026-04-23T23:01:29.0075014Z","2026-04-23T23:06:29.8929003Z","300.885303","False","wall_timeout","","300.885303","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","clustered-offset-depot","clustered-offset-depot_n50000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n50000_m5_r01.txt","50000","5","lkh-wrapper-v4","150000","300","2026-04-24T11:19:15.9097846Z","2026-04-24T11:35:49.3627443Z","993.453312","False","runner_error",,"993.453312",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n50000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n50000_m7_r01.txt","50000","7","lkh-wrapper-v4","150000","300","2026-04-24T11:35:49.6453612Z","2026-04-24T11:39:17.9165665Z","208.271284","False","runner_error",,"208.271284",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n50000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n50000_m7_r01.txt","50000","7","lkh-wrapper-v7","150000","300","2026-04-24T11:39:18.2294191Z","2026-04-24T11:41:36.0045748Z","137.775868","False","runner_error",,"137.775868",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n50000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n50000_m5_r01.txt","50000","5","lkh-wrapper-v7","150000","300","2026-04-24T11:41:36.2329637Z","2026-04-24T11:43:55.6124211Z","139.379716","False","runner_error",,"139.379716",,"mtsp.exe exited with code .","False",,""
"main","high-m-stress","high-m-stress_n50000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n50000_m7_r01.txt","50000","7","lkh3-baseline","150000","300","2026-04-23T23:41:58.6260713Z","2026-04-23T23:46:59.5550255Z","300.929364","False","wall_timeout","","300.929364","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","high-m-stress","high-m-stress_n50000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n50000_m5_r01.txt","50000","5","lkh3-baseline","150000","300","2026-04-23T22:40:18.1231541Z","2026-04-23T22:45:18.9347347Z","300.810526","False","wall_timeout","","300.810526","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","high-m-stress","high-m-stress_n50000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n50000_m5_r01.txt","50000","5","lkh-wrapper-v4","150000","300","2026-04-24T11:43:55.8786986Z","2026-04-24T11:47:11.8868817Z","196.007542","False","runner_error",,"196.007542",,"mtsp.exe exited with code .","False",,""
"main","high-m-stress","high-m-stress_n50000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n50000_m7_r01.txt","50000","7","lkh-wrapper-v4","150000","300","2026-04-24T11:47:12.1292189Z","2026-04-24T11:50:23.0305254Z","190.901348","False","runner_error",,"190.901348",,"mtsp.exe exited with code .","False",,""
"main","high-m-stress","high-m-stress_n50000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n50000_m5_r01.txt","50000","5","lkh-wrapper-v7","150000","300","2026-04-24T11:50:23.3269206Z","2026-04-24T11:52:42.5097102Z","139.182578","False","runner_error",,"139.182578",,"mtsp.exe exited with code .","False",,""
