instance,family,node_count,salesman_count,solver,seed,objective,time_seconds,valid
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,17,501.7856104355497,0.007619,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,18,500.3622410738475,0.010852,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,19,503.122251181519,0.010286,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,20,505.0610184198098,0.011891,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,1,1144.9593710442673,0.000471,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,2,1238.5492948634114,0.000487,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,3,1132.150156312843,0.001622,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,4,1117.9936929848536,0.000467,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,5,1030.0890594607613,0.000477,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,6,1159.0454046466239,0.000541,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,7,1200.0116556744279,0.000459,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,8,1187.1765131225507,0.000465,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,9,1176.2393924171647,0.000465,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,10,1187.4754682501202,0.000465,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,11,1157.802739418426,0.000462,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,12,1170.807031734386,0.000463,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,13,1098.2469174070363,0.000465,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,14,1136.7340632437667,0.000469,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,15,1180.9280850529874,0.00069,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,16,1107.8661505756525,0.000705,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,17,1204.8427532358783,0.000448,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,18,1104.8742874159427,0.000467,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,19,1180.7105700605578,0.000445,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,20,1268.4054602127062,0.000465,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,1,716.4613673419015,0.563998,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,2,722.7170740494812,0.483871,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,3,704.5043319710214,0.490649,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,4,722.9562203893817,0.473376,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,5,703.4684421824244,0.511492,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,6,714.7519282942502,0.499012,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,7,709.4733195064364,0.520913,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,8,711.7566551915158,0.515226,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,9,694.1449221441793,0.520964,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,10,708.8999213231058,0.483267,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,11,683.6529867416077,0.522184,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,12,698.4029950706207,0.50001,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,13,696.2912622009273,0.547283,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,14,712.9772526767742,0.530578,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,15,712.2354985458372,0.495513,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,16,721.0516301767829,0.504445,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,17,685.5787703660103,0.524238,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,18,714.6884294960871,0.49573,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,19,715.4122313854946,0.515617,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,20,719.7593917323661,0.478885,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,1,512.7166223430089,0.006255,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,2,511.901720861303,0.005876,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,3,514.5781702424142,0.005652,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,4,516.2171497618897,0.005488,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,5,507.8680834518955,0.005657,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,6,514.799385161597,0.005409,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,7,520.7433440870585,0.006051,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,8,511.32434292597566,0.005855,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,9,511.1060921104246,0.007396,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,10,516.588869408339,0.005415,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,11,510.91085387905525,0.006208,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,12,512.5416203094568,0.005478,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,13,509.4625245148886,0.005436,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,14,516.588869408339,0.005276,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,15,517.7166640990449,0.00628,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,16,512.1245666189782,0.00573,True
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,17,514.6492468438483,0.007419,True
