source,instance,family,n,m,solver,objective,time_seconds,makespan,sum,mean,min_route,min_nonempty,range,std,mad,gini,balance_ratio,n_nonempty,n_empty
extended_n100000_results.csv,uniform_n100000_m5_r01.txt,uniform,100000,5,2opt+greed,13128456.276115276,257.080123,2775879.1626253375,13128456.276115278,2625691.2552230554,2576178.815864391,2576178.815864391,199700.34676094633,76390.25066141489,60075.162960912756,0.013306453963995978,1.0571993782983915,5,0
extended_n100000_results.csv,uniform_n100000_m5_r01.txt,uniform,100000,5,lkh-wrapper-v21,12995476.526481679,358.666364,2735892.2730014315,12995476.52648168,2599095.3052963363,2550822.1485411865,2550822.1485411865,185070.12446024502,70440.82643549475,54718.787082038354,0.012797947806905718,1.0526325323378236,5,0
extended_n100000_results.csv,uniform_n100000_m5_r01.txt,uniform,100000,5,lkh_v21_minsum,12993166.238245215,344.543019,2654519.846319202,12993166.238245215,2598633.247649043,2553291.5171102593,2553291.5171102593,101228.3292089426,37484.60351099332,34756.31144092828,0.007928547500216685,1.0215061508663137,5,0
extended_n100000_results.csv,uniform_n100000_m5_r01.txt,uniform,100000,5,lkh_v21_minsum_cap,13022451.261652734,344.541893,2687587.4933707397,13022451.261652734,2604490.2523305467,2511963.0770516265,2511963.0770516265,175624.41631911322,61459.13066001669,53467.615287002365,0.013060756800058677,1.0319053760964687,5,0
extended_n100000_results.csv,uniform_n100000_m5_r01.txt,uniform,100000,5,lkh_v21_minsum_depot2m_plus,12149667.47425126,409.409789,12148961.841033962,12149667.47425126,2429933.494850252,97.61957774954914,97.61957774954914,12148864.221456213,4859514.173359195,3887611.338473484,0.7999503034621305,4.999709608012403,5,0
extended_n100000_results.csv,uniform_n100000_m7_r01.txt,uniform,100000,7,2opt+greed,13606046.179698177,208.487811,2031616.3838487754,13606046.179698179,1943720.8828140255,1818636.3108549933,1818636.3108549933,212980.07299378212,85102.75051803824,74693.81668429227,0.023803025029800272,1.04522022776619,7,0
extended_n100000_results.csv,uniform_n100000_m7_r01.txt,uniform,100000,7,lkh-wrapper-v21,13455610.164172474,383.162455,2006560.7384143146,13455610.164172474,1922230.0234532107,1803823.3068829037,1803823.3068829037,202737.4315314109,75548.81210273632,65930.98510337019,0.021483602943613234,1.0438712921618023,7,0
extended_n100000_results.csv,uniform_n100000_m7_r01.txt,uniform,100000,7,lkh_v21_minsum,13055628.176013043,344.471878,1998604.7709835568,13055628.176013043,1865089.7394304348,1756661.3983836938,1756661.3983836938,241943.37259986298,72724.69456917806,58229.07589725448,0.02163139181095914,1.0715863846818947,7,0
extended_n100000_results.csv,uniform_n100000_m7_r01.txt,uniform,100000,7,lkh_v21_minsum_cap,13077284.601656597,343.797788,1995614.758183753,13077284.601656597,1868183.514522371,1753781.1678452892,1753781.1678452892,241833.59033846366,80059.36139048518,65823.38069016875,0.024193792099744874,1.0682113093659118,7,0
extended_n100000_results.csv,uniform_n100000_m7_r01.txt,uniform,100000,7,lkh_v21_minsum_depot2m_plus,12137648.611776821,432.911802,12135271.28843469,12137648.611776821,1733949.801682403,107.3779405650866,107.3779405650866,12135163.910494125,4246321.71856746,2971806.139072082,0.8569848172994534,6.9986289549214025,7,0
