instance,n,m,mode,time_seconds,n_routes,valid,sum,makespan,min_route,range,std,gini,balance_ratio,n_nonempty
clustered-center_n500_m5_r03.txt,500,5,minsum_balanced,75.10965490341187,5,True,1.329167901191516,0.3197058787148073,0.18105379887429252,0.13865207984051484,0.05196657616496973,0.10680547489827312,1.2026542261072173,5
clustered-center_n500_m5_r03.txt,500,5,minmax_balanced,244.9655909538269,5,True,1.3241934313866734,0.26737562589225583,0.25983645331330696,0.007539172578948865,0.0028549125728414906,0.005678016288433754,1.0095791881865193,5
n100_m3_r01.txt,100,3,minsum_default,0.3838157653808594,3,True,0.7899862170251022,0.7564694104271701,0.01564238140437702,0.740827029022793,0.348704303443868,0.6251813960439032,2.8727187669521057,3
n100_m3_r01.txt,100,3,minsum_balanced,5.4065985679626465,3,True,0.8238113516992992,0.32409446884237436,0.207525220365463,0.11656924847691133,0.049187380005004916,0.09433328656814502,1.1802257938320058,3
n100_m3_r01.txt,100,3,minmax_balanced,5.338391304016113,3,True,0.8423894304958797,0.2818961462238949,0.279530444386564,0.002365701837330903,0.0009729315820259647,0.0018722155111706572,1.0039162506750152,3
n100_m3_r02.txt,100,3,minsum_default,0.442673921585083,3,True,0.8159624622290998,0.8006853720877911,0.0033739199753402586,0.7973114521124509,0.3738620752581713,0.6514282123014198,2.943831643555365,3
n100_m3_r02.txt,100,3,minsum_balanced,5.366953134536743,3,True,0.8522314658445818,0.3573794728824656,0.19835846194468226,0.1590210109377833,0.0655110436986521,0.12439579098008675,1.2580366503892013,3
n100_m3_r02.txt,100,3,minmax_balanced,5.958371639251709,3,True,0.8801802067242351,0.2939737503457314,0.29282197829708206,0.0011517720486493772,0.00047025131117034435,0.0008723759368443612,1.0019780543798398,3
n100_m3_r03.txt,100,3,minsum_default,0.34128284454345703,3,True,0.877384232818976,0.8324167621686159,0.02131069149511578,0.8111060706735002,0.3818072917257406,0.6163062432882428,2.8462447729227502,3
n100_m3_r03.txt,100,3,minsum_balanced,0.6410558223724365,3,True,0.8817317432379338,0.3375254158123698,0.2160997953242877,0.12142562048808207,0.05515473764752766,0.09180843752029584,1.1483949117207493,3
n100_m3_r03.txt,100,3,minmax_balanced,5.859039068222046,3,True,0.9144155760186891,0.30812067803488535,0.3004793903210223,0.007641287713863108,0.003200299233500305,0.005570981009993157,1.010877393547115,3
n100_m5_r01.txt,100,5,minsum_default,0.34490156173706055,5,True,0.8303664179741587,0.7297688190113344,0.018232503942135866,0.7115363150691985,0.28192701949546056,0.6941180778004676,4.394257783158838,5
n100_m5_r01.txt,100,5,minsum_balanced,5.390685558319092,5,True,0.914728381477011,0.22370873051205925,0.13889463624606435,0.0848140942659949,0.03397743487902951,0.09987500317189867,1.222815072988317,5
n100_m5_r01.txt,100,5,minmax_balanced,6.58893346786499,5,True,0.9346781878022912,0.19209384184074743,0.1774439787384153,0.014649863102332149,0.005162317658850332,0.014470570158352415,1.0275934773465596,5
n100_m5_r02.txt,100,5,minsum_default,0.3960075378417969,5,True,0.8505624025364451,0.782894513596191,0.00149292196715033,0.7814015916290407,0.30658929224966447,0.7451752090306081,4.602216787748535,5
n100_m5_r02.txt,100,5,minsum_balanced,5.3252153396606445,5,True,0.9729524282828776,0.2384976146651774,0.15512463376684685,0.08337298089833058,0.02830096100919651,0.08170231568289504,1.2256386218496402,5
n100_m5_r02.txt,100,5,minmax_balanced,6.490344524383545,5,True,0.9874745695035446,0.21026517659931884,0.1694351784262951,0.04082999817302374,0.014765126202586546,0.037281830699023646,1.0646612231494235,5
n100_m5_r03.txt,100,5,minsum_default,0.3692493438720703,5,True,0.8180222527080458,0.5268774780383824,0.010145075652748976,0.5167324023856333,0.20365877887527475,0.6220294346710276,3.2204348738323763,5
n100_m5_r03.txt,100,5,minsum_balanced,6.609807729721069,5,True,0.919515461766248,0.22214895424695555,0.14702353473567645,0.07512541951127912,0.030934174732799212,0.09088014916529873,1.2079674757194485,5
n100_m5_r03.txt,100,5,minmax_balanced,7.0381481647491455,5,True,0.9639157112106664,0.1976310367308135,0.18129007792692078,0.016340958803892705,0.006215383286341743,0.016099834144537518,1.0251468797131198,5
n100_m7_r01.txt,100,7,minsum_default,0.4335806369781494,7,True,0.8415631045246087,0.6954124654788523,0.00664776654223056,0.6887646989366217,0.23555040843919664,0.7466278802033784,5.784340154861935,7
n100_m7_r01.txt,100,7,minsum_balanced,6.365070819854736,7,True,1.0356780723234695,0.2016563813950906,0.11959792116939513,0.08205846022569546,0.027692396106133187,0.10113684888863253,1.3629666471539972,7
n100_m7_r01.txt,100,7,minmax_balanced,6.008112907409668,7,True,1.027218213933677,0.17702584165360868,0.00848233387694684,0.16854350777666183,0.056706552666805896,0.15078978632387818,1.2063462999063113,7
n100_m7_r02.txt,100,7,minsum_default,0.36288952827453613,7,True,0.8477846400656732,0.7601684726078024,0.004484080730762986,0.7556843918770394,0.26099756436946553,0.7810814829720841,6.276569610700206,7
n100_m7_r02.txt,100,7,minsum_balanced,5.988830089569092,7,True,1.0666114801968996,0.18117644602841693,0.11959090595384195,0.06158554007457498,0.021722724518926904,0.07990740905730741,1.1890319443822215,7
n100_m7_r02.txt,100,7,minmax_balanced,5.659934759140015,7,True,0.9426228146888258,0.21131921625498154,0.004484080730762986,0.20683513552421853,0.09082377710798605,0.3475134195704376,1.56927510212363,7
n100_m7_r03.txt,100,7,minsum_default,0.34578371047973633,7,True,0.7998514688146156,0.707051046558144,0.0024065244648662975,0.7046445220932778,0.24209527436114345,0.7656289002361388,6.187845517420857,7
n100_m7_r03.txt,100,7,minsum_balanced,8.856452703475952,7,True,1.0185683509959575,0.17719914054002037,0.09313533219824915,0.08406380834177123,0.02662733827935993,0.09889695546690967,1.2177817841750962,7
n100_m7_r03.txt,100,7,minmax_balanced,8.238826274871826,7,True,1.0136144030427565,0.16184898272316547,0.06510037784651303,0.09674860487665245,0.032755799882903266,0.08927664456234806,1.1177257107448266,7
n200_m3_r01.txt,200,3,minsum_default,0.5676360130310059,3,True,1.0669438004003016,1.0410253067796238,0.012112621681535339,1.0289126850980885,0.4846354813403794,0.642903393607083,2.92712317103032,3
n200_m3_r01.txt,200,3,minsum_balanced,5.775537490844727,3,True,1.086617786207411,0.4263919032168925,0.26585577174107766,0.16053613147581483,0.06937272929560988,0.09849285462562338,1.1772085142424786,3
n200_m3_r01.txt,200,3,minmax_balanced,6.8480353355407715,3,True,1.1264124868757701,0.3757446201157461,0.37523202834205427,0.0005125917736918382,0.00021072230551733053,0.0003033771847431416,1.0007291942170726,3
n200_m3_r02.txt,200,3,minsum_default,0.7357444763183594,3,True,1.0944543822012518,1.082799997139742,0.0023862648637567522,1.0804137322759853,0.5076976225661569,0.6581140641683473,2.9680542599553497,3
n200_m3_r02.txt,200,3,minsum_balanced,6.073030233383179,3,True,1.1354830429982343,0.408124826115975,0.3371689942592425,0.07095583185673246,0.030124852351660805,0.04165970438412074,1.078285127988326,3
n200_m3_r02.txt,200,3,minmax_balanced,7.2526984214782715,3,True,1.2174791495848787,0.40694385891494955,0.40436685667787586,0.002577002237073657,0.0010795011790374939,0.0014111136868078776,1.002753580758334,3
n200_m3_r03.txt,200,3,minsum_default,0.4486849308013916,3,True,1.08422516998927,1.0709527661859763,0.006430283664038475,1.064522482521938,0.5017236681275109,0.6545519091958073,2.963275883541539,3
n200_m3_r03.txt,200,3,minsum_balanced,5.445798635482788,3,True,1.118607902768301,0.4585501973579009,0.2795394455981144,0.1790107517597865,0.07328070341943657,0.10668662439971176,1.2297880147898825,3
n200_m3_r03.txt,200,3,minmax_balanced,5.582778453826904,3,True,1.1641141653065548,0.38941291160412617,0.3869188650417968,0.0024940465623294016,0.0010341151002246926,0.001428294369892622,1.0035430970851023,3
n200_m5_r01.txt,200,5,minsum_default,0.49158310890197754,5,True,1.1338261716847664,1.0797405727052538,0.009767826370283202,1.0699727463349704,0.42649724960107366,0.7572865878908147,4.761490780817194,5
n200_m5_r01.txt,200,5,minsum_balanced,8.829024076461792,5,True,1.1985532073730674,0.25836739058077385,0.20350355212508342,0.054863838455690456,0.01997863808375928,0.043806850781962114,1.0778302915189364,5
n200_m5_r01.txt,200,5,minmax_balanced,15.364528179168701,5,True,1.2619303838342442,0.25940711855783993,0.23611674413042077,0.023290374427419124,0.008434961419037247,0.016361719486159318,1.0278186573559565,5
n200_m5_r02.txt,200,5,minsum_default,0.8635416030883789,5,True,1.128737048037538,1.051714290906359,0.00920078714023969,1.0425135037661193,0.41307391892554607,0.7460290059159846,4.658810006878514,5
n200_m5_r02.txt,200,5,minsum_balanced,8.384929656982422,5,True,1.2188956527176869,0.27112719280302716,0.2107808007303047,0.06034639207272249,0.02038871511612914,0.046631380571149586,1.1121837714266753,5
n200_m5_r02.txt,200,5,minmax_balanced,5.988152980804443,5,True,1.1918981103061295,0.295731265702097,0.01497868699185613,0.28075257871024084,0.11171083394696098,0.18975213526062928,1.240589540099786,5
n200_m5_r03.txt,200,5,minsum_default,0.47812724113464355,5,True,1.111074783735084,1.0670665987781305,0.0017254344380474168,1.0653411643400832,0.42246035537871124,0.7699045877611875,4.8019566927393855,5
n200_m5_r03.txt,200,5,minsum_balanced,9.078963041305542,5,True,1.1922996967854795,0.2739833466957032,0.1995934040664009,0.07438994262930228,0.023699200488717685,0.05234034633646529,1.1489701265310257,5
